uni_id,unique_id_count
2110_RET,461
1260_RET,449
1525_RET,249
1265_RET,366
1281_RET,210
1532_RET,171
2002_RET,313
1222_RET,393
1102_RET,158
1211_RET,407
1237_RET,388
1213_RET,372
1411_RET,238
1215_RET,394
1225_RET,355
1231_RET,373
1137_RET,318
2143_RET,355
1133_RET,326
1223_RET,380
1229_RET,340
1230_RET,390
1245_RET,288
1247_RET,380
1278_RET,81
1405_RET,194
1438_RET,101
1529_RET,102
2142_RET,426
2130_RET,408
1244_RET,406
1249_RET,403
1253_RET,402
1201_RET,401
1276_RET,401
1272_RET,399
1248_RET,398
1254_RET,398
1264_RET,396
1266_RET,396
1255_RET,394
1235_RET,392
1128_RET,391
1209_RET,390
1236_RET,386
1273_RET,386
1228_RET,386
1226_RET,384
1268_RET,384
1212_RET,384
1239_RET,384
2055_RET,384
1267_RET,381
1243_RET,381
1206_RET,381
1261_RET,379
1259_RET,379
1210_RET,378
1227_RET,376
1258_RET,375
1262_RET,374
1217_RET,373
1250_RET,373
1203_RET,373
1214_RET,372
1204_RET,371
2057_RET,370
1275_RET,369
1220_RET,367
1269_RET,366
2034_RET,366
2006_RET,365
1241_RET,363
1270_RET,362
1207_RET,360
1263_RET,359
2107_RET,358
1271_RET,356
1240_RET,355
1132_RET,355
1224_RET,355
1216_RET,353
1127_RET,353
1274_RET,352
1246_RET,352
1242_RET,352
1252_RET,352
1135_RET,349
1202_RET,347
1131_RET,346
356_RET,343
1121_RET,342
1136_RET,341
2020_RET,334
2108_RET,334
1256_RET,332
2026_RET,331
2109_RET,330
1233_RET,330
2013_RET,330
2139_RET,329
1219_RET,328
2140_RET,328
1129_RET,328
2012_RET,325
2137_RET,324
2023_RET,321
2008_RET,317
2046_RET,317
2014_RET,317
2039_RET,314
1234_RET,314
2101_RET,314
2038_RET,312
2045_RET,311
2024_RET,310
2120_RET,310
1218_RET,309
2004_RET,309
1122_RET,308
2028_RET,302
1257_RET,301
2117_RET,299
2003_RET,298
2030_RET,296
2148_RET,294
1124_RET,288
1126_RET,288
1138_RET,286
2134_RET,285
1140_RET,283
2042_RET,279
2041_RET,279
2103_RET,279
1277_RET,277
2037_RET,277
2005_RET,277
2104_RET,274
2058_RET,274
2036_RET,271
1521_RET,264
2147_RET,264
2146_RET,264
2007_RET,261
1251_RET,260
2033_RET,259
2051_RET,258
2106_RET,257
2129_RET,257
2054_RET,256
2027_RET,255
1523_RET,254
1403_RET,248
358_RET,244
2121_RET,243
2113_RET,242
1440_RET,241
1428_RET,237
2126_RET,236
1536_RET,234
1519_RET,233
1503_RET,231
2029_RET,231
2123_RET,227
1407_RET,226
1512_RET,225
1524_RET,224
1221_RET,224
1522_RET,224
1510_RET,222
1436_RET,222
1416_RET,221
1511_RET,221
1419_RET,220
2017_RET,220
1422_RET,219
2151_RET,219
1508_RET,219
2150_RET,218
1425_RET,215
1410_RET,215
1504_RET,213
1515_RET,213
1505_RET,212
1502_RET,210
1435_RET,209
1409_RET,209
1430_RET,208
2138_RET,206
1418_RET,206
2116_RET,205
2059_RET,204
1527_RET,204
1514_RET,204
1415_RET,203
2060_RET,203
2105_RET,203
2011_RET,197
2052_RET,196
2149_RET,196
2131_RET,195
2032_RET,195
2119_RET,195
1507_RET,194
2044_RET,193
1413_RET,192
354_RET,191
2136_RET,190
1412_RET,190
1401_RET,187
1406_RET,186
1402_RET,186
1509_RET,180
1420_RET,180
1501_RET,176
1433_RET,172
1434_RET,172
1513_RET,171
1423_RET,169
2133_RET,167
1431_RET,167
2048_RET,165
1518_RET,164
2135_RET,163
319_RET,163
1118_RET,162
1238_RET,161
1105_RET,159
1116_RET,159
1104_RET,158
1109_RET,158
1108_RET,158
1120_RET,158
2127_RET,158
1114_RET,157
2043_RET,157
1110_RET,156
1106_RET,155
1112_RET,155
1107_RET,155
1115_RET,155
2102_RET,154
1117_RET,154
1414_RET,154
1516_RET,154
1101_RET,153
1417_RET,152
1284_RET,151
1506_RET,149
1424_RET,148
1103_RET,147
1408_RET,146
1530_RET,144
1439_RET,144
1520_RET,143
1535_RET,142
1537_RET,142
1119_RET,141
1517_RET,141
1539_RET,139
1426_RET,139
1432_RET,137
318_RET,135
348_RET,135
1531_RET,133
1534_RET,132
347_RET,130
1437_RET,127
2111_RET,123
1429_RET,123
2122_RET,123
2047_RET,122
2145_RET,122
2053_RET,122
2141_RET,121
2049_RET,121
2021_RET,121
2031_RET,121
2115_RET,120
2022_RET,120
2152_RET,120
2114_RET,120
2010_RET,119
2153_RET,119
2124_RET,119
2144_RET,118
2001_RET,116
1421_RET,110
1540_RET,109
359_RET,104
1538_RET,103
1541_RET,102
1533_RET,102
306_RET,101
1526_RET,101
1542_RET,101
1528_RET,98
2132_RET,92
2125_RET,91
316_RET,86
1286_RET,82
1282_RET,82
1280_RET,77
1285_RET,77
1279_RET,76
350_RET,72
1111_RET,58
1427_RET,51
1447_RET,35
2018_RET,24
1289_RET,7
1299_RET,2
1296_RET,2
1288_RET,2
1290_RET,2
1287_RET,2
1294_RET,2
320_RET,2
312_RET,2
1293_RET,2
1295_RET,2
1298_RET,2
1297_RET,2
1291_RET,2
1292_RET,2
1449_RET,1
1448_RET,1
1452_RET,1
1453_RET,1
1443_RET,1
1444_RET,1
1442_RET,1
1441_RET,1
1450_RET,1
1451_RET,1
1445_RET,1
1446_RET,1
